BubbleSort : comps[4859], swaps[7667]
InsertSort : comps[1], swaps[7]
InsertSort : comps[6], swaps[16]
InsertSort : comps[12], swaps[28]
InsertSort : comps[14], swaps[54]
InsertSort : comps[23], swaps[71]
InsertSort : comps[41], swaps[86]
InsertSort : comps[57], swaps[104]
InsertSort : comps[55], swaps[153]
InsertSort : comps[96], swaps[157]
InsertSort : comps[103], swaps[196]
InsertSort : comps[166], swaps[174]
InsertSort : comps[136], swaps[273]
InsertSort : comps[176], swaps[291]
InsertSort : comps[203], swaps[329]
InsertSort : comps[257], swaps[338]
InsertSort : comps[284], swaps[387]
InsertSort : comps[299], swaps[449]
InsertSort : comps[330], swaps[511]
InsertSort : comps[384], swaps[530]
InsertSort : comps[380], swaps[629]
InsertSort : comps[477], swaps[625]
InsertSort : comps[612], swaps[590]
InsertSort : comps[603], swaps[694]
InsertSort : comps[485], swaps[923]
InsertSort : comps[726], swaps[773]
InsertSort : comps[735], swaps[886]
InsertSort : comps[742], swaps[1002]
InsertSort : comps[924], swaps[929]
InsertSort : comps[879], swaps[1102]
InsertSort : comps[1074], swaps[1045]
InsertSort : comps[994], swaps[1255]
